Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,MFE USD,MFE %,MAE USD,MAE %,Cumulative P&L USD,Cumulative P&L %
85,Exit long,2025-12-25 09:56,close long,87780,0.08,7011.2,-4.8,-0.07,16.64,0.24,-20.75,-0.30,4856,4.86
85,Entry long,2025-12-25 00:26,long,87640,0.08,7011.2,-4.8,-0.07,16.64,0.24,-20.75,-0.30,4856,4.86
86,Exit long,2025-12-26 12:40,close long,88704,0.08,6968.64,111.68,1.60,177.92,2.55,-8,-0.11,4943.68,4.94
86,Entry long,2025-12-26 04:00,long,87108,0.08,6968.64,111.68,1.60,177.92,2.55,-8,-0.11,4943.68,4.94
87,Exit long,2025-12-26 12:40,close long,88704,0.08,6970.88,109.44,1.57,175.68,2.52,-8,-0.11,5061.12,5.06
87,Entry long,2025-12-26 04:02,long,87136,0.08,6970.88,109.44,1.57,175.68,2.52,-8,-0.11,5061.12,5.06
88,Exit long,2025-12-26 12:40,close long,88704,0.08,6973.12,107.2,1.54,173.44,2.48,-8,-0.11,5176.32,5.18
88,Entry long,2025-12-26 04:04,long,87164,0.08,6973.12,107.2,1.54,173.44,2.48,-8,-0.11,5176.32,5.18
89,Exit long,2025-12-26 12:40,close long,88704,0.08,6975.36,104.96,1.50,171.2,2.45,-8,-0.11,5289.28,5.29
89,Entry long,2025-12-26 04:04,long,87192,0.08,6975.36,104.96,1.50,171.2,2.45,-8,-0.11,5289.28,5.29
90,Exit short,2025-12-27 11:06,close short,87528,0.08,6991.04,-27.2,-0.39,6.56,0.09,-24.82,-0.35,5238.08,5.24
90,Entry short,2025-12-27 02:28,short,87388,0.08,6991.04,-27.2,-0.39,6.56,0.09,-24.82,-0.35,5238.08,5.24
91,Exit short,2025-12-27 11:06,close short,87528,0.08,6988.8,-29.44,-0.42,4.32,0.06,-27.06,-0.39,5216.64,5.22
91,Entry short,2025-12-27 02:34,short,87360,0.08,6988.8,-29.44,-0.42,4.32,0.06,-27.06,-0.39,5216.64,5.22
92,Exit short,2025-12-27 11:06,close short,87528,0.08,6986.56,-31.68,-0.45,2.08,0.03,-29.3,-0.42,5192.96,5.19
92,Entry short,2025-12-27 02:38,short,87332,0.08,6986.56,-31.68,-0.45,2.08,0.03,-29.3,-0.42,5192.96,5.19
93,Exit short,2025-12-27 11:06,close short,87528,0.08,6984.32,-33.92,-0.49,0,0.00,-31.54,-0.45,5167.04,5.17
93,Entry short,2025-12-27 02:42,short,87304,0.08,6984.32,-33.92,-0.49,0,0.00,-31.54,-0.45,5167.04,5.17
94,Exit short,2025-12-29 00:16,long,87500,0.08,7020.16,4.16,0.06,19.86,0.28,-15.06,-0.21,5147.2,5.15
94,Entry short,2025-12-28 19:50,short,87752,0.08,7020.16,4.16,0.06,19.86,0.28,-15.06,-0.21,5147.2,5.15
95,Exit short,2025-12-29 00:16,long,87500,0.08,7022.4,6.4,0.09,22.1,0.31,-12.82,-0.18,5161.6,5.16
95,Entry short,2025-12-28 20:08,short,87780,0.08,7022.4,6.4,0.09,22.1,0.31,-12.82,-0.18,5161.6,5.16
96,Exit short,2025-12-29 00:16,long,87500,0.08,7024.64,8.64,0.12,24.34,0.35,-10.58,-0.15,5178.24,5.18
96,Entry short,2025-12-28 20:10,short,87808,0.08,7024.64,8.64,0.12,24.34,0.35,-10.58,-0.15,5178.24,5.18
97,Exit short,2025-12-29 00:16,long,87500,0.08,7026.88,10.88,0.15,26.58,0.38,-8.34,-0.12,5197.12,5.20
97,Entry short,2025-12-28 20:16,short,87836,0.08,7026.88,10.88,0.15,26.58,0.38,-8.34,-0.12,5197.12,5.20
98,Exit long,2025-12-29 03:00,Open,87808,0.08,7000,8.64,0.12,23.36,0.33,-14.45,-0.21,5173.76,5.17
98,Entry long,2025-12-29 00:16,long,87500,0.08,7000,8.64,0.12,23.36,0.33,-14.45,-0.21,5173.76,5.17
99,Exit long,2025-12-29 03:00,Open,87808,0.08,6995.52,13.12,0.19,27.84,0.40,-9.97,-0.14,5178.24,5.18
99,Entry long,2025-12-29 00:20,long,87444,0.08,6995.52,13.12,0.19,27.84,0.40,-9.97,-0.14,5178.24,5.18
100,Exit long,2025-12-29 03:00,Open,87808,0.08,7000,8.64,0.12,23.36,0.33,-12.48,-0.18,5173.76,5.17
100,Entry long,2025-12-29 00:34,long,87500,0.08,7000,8.64,0.12,23.36,0.33,-12.48,-0.18,5173.76,5.17
101,Exit long,2025-12-29 03:00,Open,87808,0.08,6995.52,13.12,0.19,27.84,0.40,-8,-0.11,5178.24,5.18
101,Entry long,2025-12-29 01:12,long,87444,0.08,6995.52,13.12,0.19,27.84,0.40,-8,-0.11,5178.24,5.18
